Subject,Condition,Accuracy,Macro_F1,Raw_Accuracy,Raw_F1,Accuracy_Improvement,F1_Improvement,Delta_Theta_R2,Delta_Alpha_Mu_R2,Delta_Beta_R2,Delta_Gamma_R2,Delta_Overall_R2
A02,Theta_Clean,0.3215547703180212,0.2981396842958709,0.342756183745583,0.3286963549329631,-0.021201413427561766,-0.03055667063709222,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.013102836105833526
A03,Theta_Clean,0.6556776556776557,0.624146103939099,0.6923076923076923,0.6770762367227954,-0.03663003663003661,-0.052930132783696404,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,Theta_Clean,0.4692982456140351,0.4668418258565177,0.4385964912280701,0.4330969183721477,0.030701754385965008,0.03374490748436998,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.024545865952100124
A05,Theta_Clean,0.3115942028985507,0.2548347434497816,0.3152173913043478,0.2458182770358732,-0.003623188405797062,0.00901646641390838,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.014158961404117775
A06,Theta_Clean,0.4093023255813953,0.3940990176433214,0.4511627906976744,0.4432450739825371,-0.04186046511627911,-0.049146056339215705,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.026522621132510776
A07,Theta_Clean,0.516245487364621,0.5075302885677159,0.4584837545126354,0.4535917655575161,0.05776173285198555,0.053938523010199746,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.01228746752756995
A08,Theta_Clean,0.6826568265682657,0.6737178266489467,0.6568265682656826,0.6565976390556222,0.02583025830258301,0.017120187593324565,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.026078191170786726
A09,Theta_Clean,0.6666666666666666,0.6651030198420572,0.6590909090909091,0.6582576519785905,0.007575757575757569,0.006845367863466678,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.01691496270281305
A01,Alpha_Mu_Clean,0.5836298932384342,0.56360469099629,0.6227758007117438,0.6150849154850597,-0.039145907473309594,-0.051480224488769766,-0.0471552780865337,0.0295862868760327,0.047101222862827,0.0667229116828805,0.024063785833801626
A02,Alpha_Mu_Clean,0.303886925795053,0.2889982071134995,0.342756183745583,0.3286963549329631,-0.03886925795052998,-0.039698147819463625,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.013102836105833526
A03,Alpha_Mu_Clean,0.652014652014652,0.6100306136506768,0.6923076923076923,0.6770762367227954,-0.04029304029304026,-0.06704562307211859,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,Alpha_Mu_Clean,0.5131578947368421,0.5098628179134944,0.4385964912280701,0.4330969183721477,0.07456140350877205,0.07676589954134672,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.024545865952100124
A05,Alpha_Mu_Clean,0.3840579710144927,0.3800229181331034,0.3152173913043478,0.2458182770358732,0.0688405797101449,0.1342046410972302,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.014158961404117775
A06,Alpha_Mu_Clean,0.4976744186046511,0.4885073701611792,0.4511627906976744,0.4432450739825371,0.046511627906976716,0.04526229617864208,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.026522621132510776
A07,Alpha_Mu_Clean,0.5487364620938628,0.5434038902262782,0.4584837545126354,0.4535917655575161,0.09025270758122744,0.0898121246687621,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.01228746752756995
A08,Alpha_Mu_Clean,0.5904059040590406,0.5938295772854596,0.6568265682656826,0.6565976390556222,-0.06642066420664205,-0.06276806177016259,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.026078191170786726
A09,Alpha_Mu_Clean,0.696969696969697,0.6935919275505085,0.6590909090909091,0.6582576519785905,0.037878787878787956,0.03533427557191793,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.01691496270281305
A01,Beta_Clean,0.608540925266904,0.5992292555195283,0.6227758007117438,0.6150849154850597,-0.014234875444839812,-0.0158556599655314,-0.0471552780865337,0.0295862868760327,0.047101222862827,0.0667229116828805,0.024063785833801626
A02,Beta_Clean,0.3321554770318021,0.319542097687259,0.342756183745583,0.3286963549329631,-0.010600706713780883,-0.009154257245704123,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.013102836105833526
A03,Beta_Clean,0.706959706959707,0.6855310561832673,0.6923076923076923,0.6770762367227954,0.014652014652014711,0.008454819460471885,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,Beta_Clean,0.4122807017543859,0.4078779599271402,0.4385964912280701,0.4330969183721477,-0.02631578947368418,-0.02521895844500749,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.024545865952100124
A05,Beta_Clean,0.3768115942028985,0.3776540654772821,0.3152173913043478,0.2458182770358732,0.06159420289855072,0.1318357884414089,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.014158961404117775
A06,Beta_Clean,0.3581395348837209,0.3548838768365868,0.4511627906976744,0.4432450739825371,-0.09302325581395349,-0.08836119714595031,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.026522621132510776
A07,Beta_Clean,0.5487364620938628,0.5469820535415119,0.4584837545126354,0.4535917655575161,0.09025270758122744,0.09339028798399573,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.01228746752756995
A08,Beta_Clean,0.6642066420664207,0.6415506935308914,0.6568265682656826,0.6565976390556222,0.0073800738007380184,-0.015046945524730737,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.026078191170786726
A09,Beta_Clean,0.7007575757575758,0.7032144275725952,0.6590909090909091,0.6582576519785905,0.04166666666666674,0.04495677559400468,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.01691496270281305
A01,Gamma_Clean,0.6227758007117438,0.6107919608234044,0.6227758007117438,0.6150849154850597,0.0,-0.004292954661655357,-0.0471552780865337,0.0295862868760327,0.047101222862827,0.0667229116828805,0.024063785833801626
A02,Gamma_Clean,0.342756183745583,0.3278443522492962,0.342756183745583,0.3286963549329631,0.0,-0.0008520026836669192,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.013102836105833526
A03,Gamma_Clean,0.706959706959707,0.6941171861644538,0.6923076923076923,0.6770762367227954,0.014652014652014711,0.01704094944165846,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,Gamma_Clean,0.4605263157894737,0.4595747844186738,0.4385964912280701,0.4330969183721477,0.021929824561403577,0.026477866046526077,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.024545865952100124
A05,Gamma_Clean,0.2898550724637681,0.2447866519916605,0.3152173913043478,0.2458182770358732,-0.025362318840579656,-0.0010316250442126973,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.014158961404117775
A06,Gamma_Clean,0.3627906976744186,0.3459531590413943,0.4511627906976744,0.4432450739825371,-0.08837209302325577,-0.09729191494114281,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.026522621132510776
A07,Gamma_Clean,0.5379061371841155,0.533253336741929,0.4584837545126354,0.4535917655575161,0.07942238267148011,0.07966157118441286,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.01228746752756995
A08,Gamma_Clean,0.6457564575645757,0.6372922977201052,0.6568265682656826,0.6565976390556222,-0.011070110701106972,-0.01930534133551698,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.026078191170786726
A09,Gamma_Clean,0.7196969696969697,0.7171486766066044,0.6590909090909091,0.6582576519785905,0.06060606060606066,0.05889102462801388,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.01691496270281305
