Subject,Channel,Band,Baseline_R2,MI_R2,Change_R2
A04,C4,Gamma,31.32792799897359,38.84242689499487,7.514498896021286
A04,C4,Theta,39.8250265374379,34.77712846641311,-5.0478980710247905
A04,C5,Alpha_Mu,27.11589693886708,30.618912159171316,3.5030152203042375
A04,C5,Beta,21.04004685175694,24.90335387182013,3.863307020063187
A04,C5,Delta,40.271463944415615,30.898746144518455,-9.372717799897165
A04,C5,Gamma,29.854593126836455,34.520613613166276,4.666020486329819
A04,C5,Theta,36.051274367594246,28.646535884426687,-7.404738483167559
A04,C6,Alpha_Mu,34.91911953311395,35.876004798273314,0.9568852651593657
A04,C6,Beta,31.005377431736083,33.09043656003976,2.0850591283036866
A04,C6,Delta,44.113591679955576,34.455786831455725,-9.657804848499849
A04,C6,Gamma,34.682536408531355,41.56567741207341,6.883141003542061
A04,C6,Theta,43.25682581194635,40.2009805680492,-3.055845243897146
A04,Cz,Alpha_Mu,35.56787488702354,38.46309287515549,2.8952179881319466
A04,Cz,Beta,25.003454738408642,30.118735936639716,5.1152811982310755
A04,Cz,Delta,37.60330945199059,25.223010671857132,-12.380298780133455
A04,Cz,Gamma,27.1793655564815,34.98356100064685,7.804195444165349
A04,Cz,Theta,35.61689993763349,27.827541829736802,-7.789358107896685
A05,C1,Alpha_Mu,45.19111349497324,40.180596826526575,-5.010516668446666
A05,C1,Beta,41.153701850076914,41.4221452103354,0.26844336025848065
A05,C1,Delta,57.926740490977394,44.960738192509226,-12.966002298468176
A05,C1,Gamma,30.042672626065325,32.09379787467044,2.05112524860512
A05,C1,Theta,43.69548666760818,34.120936349697466,-9.574550317910715
A05,C2,Alpha_Mu,49.8872929588595,45.79180446117999,-4.095488497679506
A05,C2,Beta,45.93236512779199,46.362887112047055,0.430521984255067
A05,C2,Delta,58.4118342458529,45.96828740876428,-12.443546837088624
A05,C2,Gamma,32.75995887012832,35.21059708599158,2.4506382158632563
A05,C2,Theta,46.846599967680795,36.93653063485001,-9.91006933283079
A05,C3,Alpha_Mu,42.33838594974501,36.272503283528586,-6.065882666216427
A05,C3,Beta,38.15893376165732,37.934259763345466,-0.22467399831185242
A05,C3,Delta,58.56855118888589,44.40510799685197,-14.163443192033922
A05,C3,Gamma,29.1650780839681,30.84143559886172,1.6763575148936265
A05,C3,Theta,43.35199775978692,34.28763075188853,-9.06436700789839
A05,C4,Alpha_Mu,53.64492932335192,50.870287701139745,-2.7746416222121657
A05,C4,Beta,48.799526925218444,49.27493670199914,0.4754097767806933
A05,C4,Delta,61.28731582631259,49.14913831243887,-12.138177513873718
A05,C4,Gamma,33.70766990343872,35.97811397767703,2.270444074238311
A05,C4,Theta,51.441295565783506,42.555043818811015,-8.886251746972492
A05,C5,Alpha_Mu,43.90853410152431,37.0736668008357,-6.834867300688604
A05,C5,Beta,34.721875896713556,34.641039197971644,-0.08083669874191934
A05,C5,Delta,61.17618828159235,46.89139632428693,-14.28479195730543
A05,C5,Gamma,28.645860336502633,29.891979363207327,1.2461190267046944
A05,C5,Theta,46.2778532545915,37.21249658072972,-9.065356673861782
A05,C6,Alpha_Mu,60.51796933644687,58.2209035414397,-2.297065795007175
A05,C6,Beta,52.74334165489234,53.60079364450827,0.8574519896159313
A05,C6,Delta,65.2243880080702,54.01464480047869,-11.209743207591517
A05,C6,Gamma,35.745871426152064,36.94980575010866,1.2039343239565967
A05,C6,Theta,57.748142803268735,50.94327293226252,-6.80486987100621
A05,Cz,Alpha_Mu,46.65683061880324,42.53217507518206,-4.124655543621188
A05,Cz,Beta,43.19033500430688,43.40565871404314,0.21532370973626178
A05,Cz,Delta,56.455513329630335,43.84523503969847,-12.61027828993186
A05,Cz,Gamma,30.7468368331628,33.41219509046674,2.665358257303941
A05,Cz,Theta,44.078033433782856,33.63818999225265,-10.43984344153021
A06,C1,Alpha_Mu,35.90489780227844,39.206010747387694,3.3011129451092467
A06,C1,Beta,33.23164563948622,37.85596905778644,4.624323418300225
A06,C1,Delta,40.78739313376073,31.838014863291132,-8.949378270469598
A06,C1,Gamma,46.66221159240404,52.67928761969926,6.0170760272952215
A06,C1,Theta,41.325368843816705,34.80444503654107,-6.520923807275634
A06,C2,Alpha_Mu,40.03402396122894,47.37554707840113,7.341523117172177
A06,C2,Beta,33.91157000284911,40.02281991202255,6.111249909173444
A06,C2,Delta,43.311058736138044,33.225636089515504,-10.08542264662254
A06,C2,Gamma,47.06343926818419,53.24245430346994,6.17901503528575
A06,C2,Theta,44.049549952747775,38.134858632443496,-5.914691320304278
A06,C3,Alpha_Mu,26.84796378710987,25.524310587024438,-1.3236532000854304
A06,C3,Beta,29.411191034316282,31.725222544248716,2.3140315099324367
A06,C3,Delta,41.306964828651395,32.68026295645628,-8.626701872195117
A06,C3,Gamma,47.11494725656078,52.67093948014574,5.555992223584962
A06,C3,Theta,41.7554913002613,35.63706663937435,-6.118424660886939
A06,C4,Alpha_Mu,32.2570623953658,37.86046812611229,5.60340573074649
A06,C4,Beta,30.30588430971744,35.15540424727128,4.849519937553836
A06,C4,Delta,45.80697226333157,35.664279393686996,-10.142692869644586
A06,C4,Gamma,47.505792923625165,53.50248419370745,5.996691270082292
A06,C4,Theta,46.60937763094122,42.03250192064809,-4.576875710293128
A06,C5,Alpha_Mu,31.109431938788443,29.03118383712394,-2.078248101664506
A06,C5,Beta,34.027632079775564,35.95887237675444,1.9312402969788753
A06,C5,Delta,43.31647240259375,36.17976191992765,-7.136710482666097
A06,C5,Gamma,42.085735370365995,45.706975331494,3.6212399611280097
A06,C5,Theta,44.687929877385066,41.261585277955696,-3.426344599429362
A06,C6,Alpha_Mu,42.775404056401804,49.226996347280064,6.451592290878264
A06,C6,Beta,39.55133826181479,44.83342658459233,5.282088322777538
A06,C6,Delta,51.38855635525503,42.102030441908234,-9.286525913346795
A06,C6,Gamma,46.476422826093305,51.4055941351374,4.92917130904409
A06,C6,Theta,52.447466259696014,50.50378463253014,-1.9436816271658697
A06,Cz,Alpha_Mu,44.11237019149818,49.79983657232025,5.687466380822066
A06,Cz,Beta,34.00494952746657,40.03628270489826,6.031333177431693
A06,Cz,Delta,40.34449172330356,31.048981642507037,-9.295510080796527
A06,Cz,Gamma,44.217849608508025,50.658571736444436,6.440722127936416
A06,Cz,Theta,41.09922365397595,33.76221920527522,-7.337004448700727
A07,C1,Alpha_Mu,40.29134930685541,38.78007968162544,-1.5112696252299682
A07,C1,Beta,16.65781662111518,22.899986413479912,6.242169792364732
A07,C1,Delta,50.38670803195455,40.17291277348614,-10.213795258468405
A07,C1,Gamma,14.25224400642505,15.604079126731913,1.351835120306863
A07,C1,Theta,42.09001983502597,36.58949704280383,-5.50052279222215
A07,C2,Alpha_Mu,48.08781068303991,47.09556560575684,-0.9922450772830703
A07,C2,Beta,23.896801639182584,28.704579233463903,4.8077775942813155
A07,C2,Delta,52.40284836224817,42.52862645849476,-9.874221903753408
A07,C2,Gamma,18.20238244804178,20.137210380894718,1.9348279328529345
A07,C2,Theta,47.227507594671096,41.79621254165451,-5.4312950530165764
A07,C3,Alpha_Mu,32.313036310099314,31.28726293651892,-1.0257733735804018
A07,C3,Beta,13.504086352067997,20.31689510200795,6.812808749939954
A07,C3,Delta,51.11392363009281,41.51003753536156,-9.603886094731253
A07,C3,Gamma,15.226731551734503,17.17852898772001,1.9517974359855055
A07,C3,Theta,41.04914266728675,35.12739042661208,-5.921752240674667
A07,C4,Alpha_Mu,48.84617812792631,49.70138954654413,0.8552114186178178
A07,C4,Beta,27.006387199456515,32.68095630571237,5.674569106255856
A07,C4,Delta,55.103541461630286,46.76540803444893,-8.338133427181358
A07,C4,Gamma,22.477805022658266,25.011082524581123,2.5332775019228597
A07,C4,Theta,51.09178991887863,47.04447070249919,-4.047319216379446
A07,C5,Alpha_Mu,29.86237713025225,25.6470425470946,-4.215334583157646
A07,C5,Beta,16.199629688827965,21.942163828833817,5.742534140005851
A07,C5,Delta,53.72057521387874,43.183917894272874,-10.536657319605865
A07,C5,Gamma,18.2018823871119,19.97163966827095,1.7697572811590456
A07,C5,Theta,41.694810244865245,34.60607635399363,-7.088733890871622
A07,C6,Alpha_Mu,56.57623560575768,57.7509471783797,1.1747115726220123
A07,C6,Beta,36.57697857179964,41.43602939586131,4.859050824061663
A07,C6,Delta,61.35167801690094,54.00051605003608,-7.351161966864861
A07,C6,Gamma,26.687958730472488,27.084904549380354,0.3969458189078646
A07,C6,Theta,59.13782936374592,57.19968905682606,-1.9381403069198617
A07,Cz,Alpha_Mu,45.205208305717875,43.157829997428344,-2.047378308289532
A07,Cz,Beta,18.45020097341871,23.75054992706853,5.30034895364982
A07,Cz,Delta,49.39910042469905,39.79750702162986,-9.601593403069181
A07,Cz,Gamma,14.134979505329161,15.658046425660622,1.5230669203314595
A07,Cz,Theta,42.8290107298989,36.89116226869582,-5.937848461203081
A08,C1,Alpha_Mu,63.664267730815105,67.21294472550764,3.548676994692538
A08,C1,Beta,55.54496763345416,61.1753609993078,5.63039336585364
A08,C1,Delta,58.783804713909454,44.14511245333162,-14.638692260577828
A08,C1,Gamma,69.52088235872912,76.64665255844639,7.12577019971728
A08,C1,Theta,54.80158643112653,46.81258395753329,-7.989002473593236
A08,C2,Alpha_Mu,66.11621800835884,69.00141706265929,2.885199054300438
A08,C2,Beta,58.55342779211776,64.07218544660114,5.51875765448337
A08,C2,Delta,60.12953954457882,47.25691833923881,-12.872621205340021
A08,C2,Gamma,70.21182661263488,77.65800394320514,7.446177330570261
A08,C2,Theta,56.527486482005855,50.526156164858534,-6.00133031714732
A08,C3,Alpha_Mu,49.19565141757116,54.56848064625366,5.372829228682496
A08,C3,Beta,56.4250883863713,61.92289097432096,5.497802587949662
A08,C3,Delta,59.60356785996258,45.20117887728412,-14.402388982678465
A08,C3,Gamma,71.3210476588508,78.40922865605387,7.088180997203073
A08,C3,Theta,55.84300394129838,47.27141153871405,-8.571592402584328
A08,C4,Alpha_Mu,60.90626601030422,63.804139337114094,2.897873326809871
A08,C4,Beta,61.77366143949904,67.20677614126674,5.433114701767713
A08,C4,Delta,63.867588976154785,53.3084777521658,-10.559111223988975
A08,C4,Gamma,72.93195545234856,80.44627477932372,7.514319326975147
A08,C4,Theta,59.64258562288838,56.15746712448279,-3.4851184984055954
A08,C5,Alpha_Mu,36.37566899181908,43.28217467984567,6.906505688026575
A08,C5,Beta,59.73629570239851,65.2917143914662,5.555418689067701
A08,C5,Delta,60.34287836358698,48.04907564730226,-12.29380271628472
A08,C5,Gamma,72.67146062517283,80.16033751125752,7.4888768860847
A08,C5,Theta,55.07121522432977,48.117340411225165,-6.953874813104608
A08,C6,Alpha_Mu,62.76155436937555,67.04697999696117,4.285425627585617
A08,C6,Beta,67.03791766176919,72.4092895829004,5.371371921131225
A08,C6,Delta,67.46744118195465,59.849284919663724,-7.618156262290922
A08,C6,Gamma,74.69184064927401,82.29798436229576,7.606143713021747
A08,C6,Theta,63.63564565612296,63.571822700899475,-0.06382295522347677
A08,Cz,Alpha_Mu,66.8458524263154,69.36066942197483,2.5148169956594355
A08,Cz,Beta,54.494383464399206,60.24527097769187,5.750887513292659
A08,Cz,Delta,56.394833856159046,42.246554171229846,-14.1482796849292
A08,Cz,Gamma,67.97338422467378,74.85963945403496,6.886255229361185
A08,Cz,Theta,52.54962829691028,45.008276164245466,-7.5413521326648105
A09,C1,Alpha_Mu,38.70556775888589,39.004403344642704,0.29883558575680924
A09,C1,Beta,36.655214902985826,36.03974955991122,-0.6154653430746025
A09,C1,Delta,47.925951833877306,38.08547784885695,-9.840473985020362
A09,C1,Gamma,24.04291802350595,19.830156193884907,-4.212761829621048
A09,C1,Theta,45.4520777615007,37.233208645375555,-8.218869116125152
A09,C2,Alpha_Mu,53.95685569882397,54.91253064206885,0.9556749432448854
A09,C2,Beta,41.91464821210378,40.54680474356721,-1.3678434685365657
A09,C2,Delta,51.29112832886403,41.98602244140759,-9.30510588745644
A09,C2,Gamma,27.745236819001594,23.09805269021954,-4.647184128782057
A09,C2,Theta,51.31064649433458,42.71971096854422,-8.59093552579036
A09,C3,Alpha_Mu,26.715569729382935,26.181327721443168,-0.5342420079397642
A09,C3,Beta,24.340126420916135,24.95801192643198,0.6178855055158413
A09,C3,Delta,49.26716707441197,39.31084833495315,-9.956318739458819
A09,C3,Gamma,18.84119833574917,15.458355648466302,-3.382842687282868
A09,C3,Theta,43.07367262979718,35.73589572718338,-7.337776902613793
A09,C4,Alpha_Mu,49.96021739185595,51.16606674763815,1.205849355782198
A09,C4,Beta,35.2629893223196,36.43796203628275,1.1749727139631436
A09,C4,Delta,53.491809870044335,46.21438857011002,-7.277421299934314
A09,C4,Gamma,21.533209254204202,18.827508829563378,-2.7057004246408223
A09,C4,Theta,54.6734192235177,46.56800531571424,-8.10541390780346
A09,C5,Alpha_Mu,28.08514762974842,29.023782963758126,0.9386353340097071
A09,C5,Beta,24.365054264375285,24.902153768713085,0.5370995043377982
A09,C5,Delta,53.09901661756482,43.994099256107205,-9.104917361457616
A09,C5,Gamma,18.526425271831506,15.619840516436303,-2.9065847553952047
A09,C5,Theta,43.63683426758908,38.345279114090644,-5.291555153498436
A09,C6,Alpha_Mu,59.8045448421168,60.79545598837324,0.9909111462564382
A09,C6,Beta,45.57810440689877,46.74805486926344,1.169950462364677
A09,C6,Delta,58.918906277683085,53.45091362623747,-5.467992651445609
A09,C6,Gamma,25.334871911267253,21.997999569453484,-3.3368723418137662
A09,C6,Theta,62.750382477361455,55.69633591544232,-7.054046561919132
A09,Cz,Alpha_Mu,49.7335723791963,49.39257768159234,-0.34099469760396395
A09,Cz,Beta,41.12343485712839,39.275394227199875,-1.8480406299285168
A09,Cz,Delta,46.57835001925563,36.57292420302169,-10.005425816233943
A09,Cz,Gamma,27.1621767342568,22.58173594982684,-4.5804407844299595
A09,Cz,Theta,45.5485045979448,36.841361775148094,-8.70714282279671
