Relative_Path,Rows,Columns,Status
corrected_baseline_mi_eog_r2_subject_band.csv,36,12,Loaded
corrected_baseline_mi_eog_r2_subject_band_percent.csv,36,16,Loaded
corrected_baseline_mi_eog_r2_trial_level.csv,10368,9,Loaded
decision_margin_analysis/class_decision_margin_paired_tests.csv,4,6,Loaded
decision_margin_analysis/class_decision_margin_results.csv,36,13,Loaded
decision_margin_analysis/class_margin_vs_class_accuracy.csv,4,5,Loaded
decision_margin_analysis/class_specific_error_change.csv,4,4,Loaded
decision_margin_analysis/competitor_transitions.csv,36,4,Loaded
decision_margin_analysis/decision_margin_final_summary.csv,19,2,Loaded
decision_margin_analysis/margin_outcome_transitions.csv,6,7,Loaded
decision_margin_analysis/subject_decision_margin_results.csv,9,11,Loaded
decision_margin_analysis/trial_level_decision_margins.csv,2368,18,Loaded
delta_eog_vs_optimal_lambda_correlations.csv,5,6,Loaded
delta_r2_distribution_summary.csv,4,14,Loaded
eeg_spectral_profile_vs_cleaning.csv,54,22,Loaded
eeg_spectral_profile_vs_cleaning_correlation.csv,20,7,Loaded
eegnet_allband_lambda_coefficients.csv,198,7,Loaded
eegnet_allband_lambda_performance.csv,45,9,Loaded
eegnet_allband_lambda_predictions.csv,11840,9,Loaded
eegnet_best_condition_per_subject.csv,9,5,Loaded
eegnet_best_suppression_per_subject.csv,9,5,Loaded
eegnet_cleaning_accuracy_improvements.csv,9,6,Loaded
eegnet_cleaning_condition_ranking.csv,6,5,Loaded
eegnet_cleaning_f1_improvements.csv,9,6,Loaded
eegnet_cleaning_friedman_test.csv,2,4,Loaded
eegnet_cleaning_raw_vs_condition_statistics.csv,10,21,Loaded
eegnet_cleaning_statistical_tests.csv,5,13,Loaded
eegnet_feature_space/eegnet_feature_space_final_summary.csv,11,2,Loaded
eegnet_feature_space/embedding_dimension_summary.csv,9,5,Loaded
eegnet_feature_space/feature_space_paired_statistics.csv,4,6,Loaded
eegnet_feature_space/feature_space_vs_eegnet_benefit.csv,20,6,Loaded
eegnet_feature_space/pairwise_feature_space_distances.csv,54,7,Loaded
eegnet_feature_space/subject_eegnet_feature_space_results.csv,9,29,Loaded
eegnet_focused_lambda_coefficients.csv,198,7,Loaded
eegnet_focused_lambda_performance.csv,27,9,Loaded
eegnet_focused_lambda_predictions.csv,7104,8,Loaded
eegnet_frequency_cleaning_coefficients.csv,990,8,Loaded
eegnet_frequency_cleaning_performance.csv,54,9,Loaded
eegnet_frequency_cleaning_predictions.csv,14208,9,Loaded
eegnet_raw_vs_clean_predictions.csv,4736,9,Loaded
eegnet_raw_vs_eog_cleaned.csv,9,14,Loaded
eegnet_suppression_sweep_performance.csv,45,9,Loaded
eegnet_suppression_sweep_predictions.csv,12038,13,Loaded
eog_central_region_A01_A09.csv,9,10,Loaded
eog_channel_frequency_summary.csv,7,6,Loaded
eog_channel_vs_classification.csv,7,5,Loaded
eog_cleaning_coefficients.csv,198,6,Loaded
eog_contamination_vs_classification.csv,9,4,Loaded
eog_contamination_vs_cleaning_improvement.csv,25,6,Loaded
eog_eeg_r2_all_channels_A01_A09.csv,198,4,Loaded
eog_error_slope_spectral_correlations.csv,4,7,Loaded
eog_error_slope_vs_eeg_spectral_profile.csv,9,20,Loaded
eog_frequency_analysis_A01_A09.csv,315,5,Loaded
eog_frequency_vs_classification.csv,5,5,Loaded
eog_subject_frequency_summary.csv,9,6,Loaded
evaluation_eog_trial_features.csv,2368,38,Loaded
exact_end_to_end_observed_feature_frequency.csv,4,3,Loaded
exact_end_to_end_observed_feature_selection_frequency.csv,2,2,Loaded
exact_end_to_end_observed_responder_result.csv,9,7,Loaded
exact_end_to_end_permutation_distribution.csv,24,2,Loaded
exact_end_to_end_responder_permutation_results.csv,126,4,Loaded
exact_end_to_end_responder_permutation_summary.csv,1,12,Loaded
final_artifact_filtered_baseline_mi_eog_r2_statistics.csv,4,16,Loaded
final_artifact_filtered_baseline_mi_eog_r2_subject_band.csv,36,12,Loaded
final_artifact_filtered_baseline_mi_eog_r2_trial_level.csv,2368,18,Loaded
final_validation/final_leave_one_subject_out.csv,9,16,Loaded
final_validation/final_master_validation_table.csv,9,11,Loaded
final_validation/final_primary_statistics.csv,2,19,Loaded
final_validation/final_subject_level_results.csv,9,9,Loaded
focused_lambda_pairwise_statistics.csv,3,17,Loaded
focused_lambda_performance_curve.csv,3,3,Loaded
frequency_directional_consistency.csv,4,8,Loaded
frequency_matched_eog_change_vs_cleaning_benefit.csv,8,9,Loaded
full_duration_erd_ers/full_duration_class_erd_ers.csv,216,11,Loaded
full_duration_erd_ers/full_duration_class_erd_ers_tests.csv,24,8,Loaded
full_duration_erd_ers/full_duration_erd_ers_final_summary.csv,20,2,Loaded
full_duration_erd_ers/full_duration_erd_ers_vs_accuracy.csv,6,6,Loaded
full_duration_erd_ers/full_duration_erd_ers_vs_f1.csv,6,6,Loaded
full_duration_erd_ers/full_duration_hand_lateralization.csv,18,8,Loaded
full_duration_erd_ers/full_duration_hand_lateralization_tests.csv,4,7,Loaded
full_duration_erd_ers/full_duration_motor_band_correlations.csv,2,9,Loaded
full_duration_erd_ers/full_duration_paired_erd_ers_tests.csv,6,9,Loaded
full_duration_erd_ers/full_duration_subject_erd_ers.csv,54,8,Loaded
full_duration_erd_ers/full_duration_temporal_erd_ers.csv,3996,11,Loaded
lambda075_benefit_candidate_scorecard.csv,8,9,Loaded
lambda075_benefit_correlation_stability.csv,8,8,Loaded
lambda075_benefit_feature_correlations.csv,8,11,Loaded
lambda075_benefit_feature_interactions.csv,12,9,Loaded
lambda075_benefit_group_comparisons.csv,4,9,Loaded
lambda075_benefit_multivariate_models.csv,28,8,Loaded
lambda075_benefit_one_sample_tests.csv,2,3,Loaded
lambda075_benefit_quadratic_models.csv,8,10,Loaded
lambda075_benefit_robust_regression.csv,8,7,Loaded
lambda075_benefit_stability_flags.csv,8,6,Loaded
lambda075_benefit_threshold_search.csv,48,8,Loaded
lambda075_benefit_univariate_regression.csv,8,9,Loaded
lambda075_class_separability/band_class_r2_vs_eegnet_benefit.csv,4,5,Loaded
lambda075_class_separability/band_class_separability_lambda075.csv,36,15,Loaded
lambda075_class_separability/channel_class_separability_lambda075.csv,198,8,Loaded
lambda075_class_separability/class_separability_mechanism_summary.csv,12,2,Loaded
lambda075_class_separability/subject_class_separability_lambda075.csv,9,9,Loaded
lambda075_class_separability/temporal_class_r2_vs_eegnet_benefit.csv,3,4,Loaded
lambda075_class_separability/temporal_class_separability_lambda075.csv,27,9,Loaded
lambda075_class_separability/trial_timing_diagnostic.csv,9,7,Loaded
lambda075_sensorimotor_erd_ers/class_specific_erd_ers_wilcoxon.csv,24,9,Loaded
lambda075_sensorimotor_erd_ers/class_specific_sensorimotor_erd_ers_lambda075.csv,216,19,Loaded
lambda075_sensorimotor_erd_ers/erd_ers_change_vs_accuracy.csv,6,6,Loaded
lambda075_sensorimotor_erd_ers/erd_ers_change_vs_f1.csv,6,6,Loaded
lambda075_sensorimotor_erd_ers/erd_ers_raw_vs_clean_wilcoxon.csv,6,7,Loaded
lambda075_sensorimotor_erd_ers/motor_region_erd_ers_summary.csv,2,4,Loaded
lambda075_sensorimotor_erd_ers/subject_class_band_erd_ers_lambda075.csv,72,6,Loaded
lambda075_sensorimotor_erd_ers/subject_mechanistic_erd_ers_profile.csv,9,6,Loaded
lambda075_signal_mechanism/band_change_summary_lambda075.csv,6,7,Loaded
lambda075_signal_mechanism/band_changes_vs_delta_accuracy_f1.csv,8,10,Loaded
lambda075_signal_mechanism/band_power_changes_lambda075.csv,36,14,Loaded
lambda075_signal_mechanism/channel_coupling_summary_lambda075.csv,22,5,Loaded
lambda075_signal_mechanism/channel_eog_coupling_changes_lambda075.csv,198,9,Loaded
lambda075_signal_mechanism/coupling_changes_vs_delta_accuracy_f1.csv,2,9,Loaded
lambda075_signal_mechanism/eog_channel_coupling_changes_lambda075.csv,27,9,Loaded
lambda075_signal_mechanism/lambda075_signal_mechanism_summary.csv,10,2,Loaded
lambda075_signal_mechanism/signal_changes_vs_delta_accuracy_f1.csv,6,6,Loaded
lambda075_signal_mechanism/subject_signal_changes_lambda075.csv,9,13,Loaded
lambda075_subject_benefit_ranking.csv,9,3,Loaded
lambda075_suppression_benefit_by_subject.csv,9,12,Loaded
lambda_vs_eeg_features_correlations.csv,4,5,Loaded
lambda_vs_eog_features_correlations.csv,5,5,Loaded
leave_one_subject_out_lambda_prediction.csv,9,4,Loaded
master_all_result_files_catalog.csv,236,6,Loaded
master_analysis_directory_inventory.csv,12,4,Loaded
master_final_analysis_inventory.csv,50,5,Loaded
master_final_analysis_summary.csv,23,7,Loaded
master_result_file_inventory.csv,50,6,Loaded
mi_eog_change_suppression_performance_master.csv,9,17,Loaded
mi_eog_change_vs_cleaning_benefit.csv,45,13,Loaded
mi_eog_change_vs_cleaning_benefit_correlations.csv,50,8,Loaded
mi_eog_change_vs_optimal_lambda.csv,5,6,Loaded
mi_eog_change_vs_optimal_lambda_master.csv,9,7,Loaded
nested_loocv_feature_directions.csv,11,3,Loaded
nested_loocv_feature_selection_frequency.csv,4,3,Loaded
nested_loocv_feature_subset_selection.csv,135,4,Loaded
nested_loocv_responder_score_results.csv,9,11,Loaded
nested_loocv_responder_score_summary.csv,4,2,Loaded
nested_loocv_score_vs_cleaning_benefit.csv,2,6,Loaded
nested_multicondition_adaptive_policy_subject_results.csv,9,20,Loaded
nested_multicondition_adaptive_policy_summary.csv,17,2,Loaded
nested_multicondition_adaptive_vs_fixed_conditions.csv,5,7,Loaded
nested_multicondition_condition_selection_confusion.csv,6,7,Loaded
nested_multicondition_inner_feature_selection.csv,135,4,Loaded
nested_multicondition_selected_features.csv,4,3,Loaded
nested_three_action_adaptive_lambda_confusion.csv,3,4,Loaded
nested_three_action_adaptive_lambda_feature_frequency.csv,4,3,Loaded
nested_three_action_adaptive_lambda_final_subject_table.csv,9,19,Loaded
nested_three_action_adaptive_lambda_inner_feature_selection.csv,135,4,Loaded
nested_three_action_adaptive_lambda_subject_results.csv,9,21,Loaded
nested_three_action_adaptive_lambda_summary.csv,23,2,Loaded
normalized_beta_class_contrast/normalized_beta_channel_contrast_vs_f1.csv,3,5,Loaded
normalized_beta_class_contrast/normalized_beta_class_contrast_subjects.csv,9,8,Loaded
normalized_beta_class_contrast/normalized_beta_class_contrast_temporal.csv,972,22,Loaded
normalized_beta_class_contrast/normalized_beta_contrast_vs_eegnet.csv,5,9,Loaded
normalized_beta_class_contrast/normalized_beta_global_temporal_summary.csv,36,4,Loaded
normalized_beta_class_contrast/normalized_beta_motor_channel_summary.csv,3,4,Loaded
pre_cleaning_responder_score.csv,9,9,Loaded
pre_cleaning_responder_score_components.csv,9,6,Loaded
pre_cleaning_responder_score_continuous_correlations.csv,2,6,Loaded
pre_cleaning_responder_score_group_summary.csv,2,7,Loaded
pre_cleaning_responder_score_loocv.csv,9,8,Loaded
predictions_EEGNet.csv,2368,9,Loaded
predictions_GRU.csv,2368,9,Loaded
predictions_LSTM.csv,2368,9,Loaded
predictions_RNN.csv,2368,9,Loaded
spatial_motor_lateralization/class_motor_lateralization_lambda075.csv,36,18,Loaded
spatial_motor_lateralization/motor_lateralization_final_summary.csv,14,2,Loaded
spatial_motor_lateralization/motor_lateralization_statistics.csv,14,2,Loaded
spatial_motor_lateralization/subject_motor_lateralization_lambda075.csv,9,9,Loaded
spatial_motor_lateralization/temporal_motor_lateralization_lambda075.csv,144,10,Loaded
spatial_motor_lateralization/temporal_motor_lateralization_summary.csv,16,3,Loaded
spatial_motor_lateralization/trial_level_motor_lateralization_lambda075.csv,2368,18,Loaded
subject_allband_suppression_profiles.csv,9,7,Loaded
subject_best_allband_lambda.csv,9,5,Loaded
subject_best_cleaning_response.csv,9,6,Loaded
subject_best_focused_lambda.csv,9,5,Loaded
subject_central_eeg_spectral_profile.csv,9,10,Loaded
subject_channel_frequency_summary.csv,315,6,Loaded
subject_classification_performance_raw.csv,9,4,Loaded
subject_cleaning_responder_master.csv,9,28,Loaded
subject_eog_best_relationships.csv,25,5,Loaded
subject_eog_nonlinear_relationships.csv,75,5,Loaded
subject_frequency_summary.csv,45,5,Loaded
subject_lambda_prediction_features.csv,9,16,Loaded
subject_level_eog_contamination_changes.csv,9,9,Loaded
subject_model_performance.csv,36,4,Loaded
subject_preferred_cleaning_condition.csv,9,3,Loaded
subject_specific_eog_error_slopes.csv,9,11,Loaded
temporal_beta_lambda075/channel_temporal_beta_change.csv,108,3,Loaded
temporal_beta_lambda075/hand_vs_nonhand_temporal_beta_change.csv,36,4,Loaded
temporal_beta_lambda075/motor_channel_temporal_beta_peaks.csv,3,3,Loaded
temporal_beta_lambda075/subject_early_mi_beta_change.csv,9,4,Loaded
temporal_beta_lambda075/subject_temporal_beta_peaks.csv,9,8,Loaded
temporal_beta_lambda075/temporal_beta_change_lambda075.csv,972,17,Loaded
temporal_beta_lambda075/temporal_beta_peak_permutation.csv,5,2,Loaded
temporal_beta_lambda075/temporal_beta_performance_correlations.csv,16,2,Loaded
temporal_beta_lambda075/temporal_beta_summary.csv,38,7,Loaded
trial_level_eog_frequency_analysis.csv,90720,8,Loaded
within_trial_eog_subject_time_summary.csv,135,9,Loaded
within_trial_eog_subject_variability.csv,2369,23,Loaded
within_trial_eog_time_resolved_r2.csv,35520,13,Loaded
