Subject,Class,Band,Raw_ERD_ERS_Percent,Clean_ERD_ERS_Percent,Delta_ERD_ERS_Percent
A06,Feet,Mu,-24.606234355353067,-20.95043291508237,3.655801440270698
A06,Left_Hand,Beta,-1.3509494879311563,-4.180242511226982,-2.829293023295827
A06,Left_Hand,Mu,-27.727311282204997,-32.82303053326476,-5.095719251059772
A06,Right_Hand,Beta,10.583412931855952,6.617467694214916,-3.965945237641037
A06,Right_Hand,Mu,-23.66312118671017,-31.96172029345541,-8.298599106745236
A06,Tongue,Beta,10.944893195166976,11.311873003811838,0.3669798086448619
A06,Tongue,Mu,-37.55679106142872,-36.6965852250103,0.860205836418416
A07,Feet,Beta,-31.6668778898067,-35.48452372317585,-3.817645833369147
A07,Feet,Mu,-54.91929429344855,-56.43077371948802,-1.5114794260394646
A07,Left_Hand,Beta,-37.9532360937829,-41.97902530094593,-4.025789207163025
A07,Left_Hand,Mu,-50.63342218603898,-50.9104313347197,-0.2770091486807307
A07,Right_Hand,Beta,-28.78880516069316,-35.58537042380829,-6.79656526311513
A07,Right_Hand,Mu,-42.34554796018008,-39.49179611843962,2.853751841740447
A07,Tongue,Beta,-15.312293888203984,-21.06959240922358,-5.757298521019597
A07,Tongue,Mu,-46.09472636184028,-45.15700442548317,0.9377219363571048
A08,Feet,Beta,1.7797639037284316,-10.021594501824266,-11.801358405552698
A08,Feet,Mu,-38.454241778223626,-39.23406050641263,-0.7798187281890078
A08,Left_Hand,Beta,-4.357228647739041,-18.41535855143305,-14.058129903694017
A08,Left_Hand,Mu,-39.06467588484849,-48.64189043272762,-9.577214547879136
A08,Right_Hand,Beta,4.397555760039906,-0.729287173527641,-5.126842933567548
A08,Right_Hand,Mu,-41.75126772132332,-48.99685867140429,-7.245590950080976
A08,Tongue,Beta,5.566013402847034,6.270852992399244,0.70483958955221
A08,Tongue,Mu,-1.4044393286739285,8.397757436878269,9.802196765552196
A09,Feet,Beta,-13.795148320392428,-14.550736683799824,-0.7555883634073961
A09,Feet,Mu,-31.96989107757281,-28.729999475383615,3.239891602189202
A09,Left_Hand,Beta,-35.4824603031753,-42.27920729229316,-6.796746989117859
A09,Left_Hand,Mu,-65.46329972460262,-66.84175037691482,-1.3784506523121962
A09,Right_Hand,Beta,-9.328750477038293,-15.777588847878256,-6.448838370839962
A09,Right_Hand,Mu,-36.117751020855145,-37.49733861941592,-1.379587598560775
A09,Tongue,Beta,5.699145303507319,4.9372574302911865,-0.7618878732161322
A09,Tongue,Mu,0.308288653188896,6.622712535419722,6.314423882230827
