Subject,Channel,Band,Baseline_R2,MI_R2,Change_R2
A06,Cz,Theta,41.09922365397595,33.76221920527522,-7.337004448700727
A07,C1,Alpha_Mu,40.29134930685541,38.78007968162544,-1.5112696252299682
A07,C1,Beta,16.65781662111518,22.899986413479912,6.242169792364732
A07,C1,Delta,50.38670803195455,40.17291277348614,-10.213795258468403
A07,C1,Gamma,14.25224400642505,15.604079126731913,1.351835120306863
A07,C1,Theta,42.09001983502597,36.58949704280383,-5.50052279222215
A07,C2,Alpha_Mu,48.08781068303991,47.09556560575684,-0.9922450772830704
A07,C2,Beta,23.896801639182584,28.704579233463903,4.807777594281316
A07,C2,Delta,52.40284836224817,42.52862645849476,-9.874221903753408
A07,C2,Gamma,18.20238244804178,20.13721038089472,1.9348279328529343
A07,C2,Theta,47.227507594671096,41.79621254165451,-5.431295053016576
A07,C3,Alpha_Mu,32.313036310099314,31.28726293651892,-1.0257733735804018
A07,C3,Beta,13.504086352067995,20.31689510200795,6.812808749939954
A07,C3,Delta,51.11392363009281,41.51003753536156,-9.603886094731251
A07,C3,Gamma,15.226731551734504,17.17852898772001,1.9517974359855053
A07,C3,Theta,41.04914266728675,35.12739042661208,-5.921752240674667
A07,C4,Alpha_Mu,48.84617812792631,49.70138954654413,0.8552114186178178
A07,C4,Beta,27.006387199456515,32.68095630571237,5.674569106255856
A07,C4,Delta,55.103541461630286,46.76540803444893,-8.338133427181358
A07,C4,Gamma,22.477805022658263,25.011082524581123,2.53327750192286
A07,C4,Theta,51.09178991887863,47.04447070249919,-4.047319216379446
A07,C5,Alpha_Mu,29.86237713025225,25.6470425470946,-4.215334583157646
A07,C5,Beta,16.199629688827965,21.942163828833817,5.742534140005851
A07,C5,Delta,53.72057521387874,43.18391789427288,-10.536657319605863
A07,C5,Gamma,18.2018823871119,19.97163966827095,1.7697572811590456
A07,C5,Theta,41.694810244865245,34.60607635399363,-7.088733890871622
A07,C6,Alpha_Mu,56.57623560575768,57.7509471783797,1.1747115726220123
A07,C6,Beta,36.57697857179964,41.43602939586131,4.859050824061663
A07,C6,Delta,61.35167801690094,54.00051605003608,-7.351161966864861
A07,C6,Gamma,26.687958730472488,27.084904549380354,0.3969458189078646
A07,C6,Theta,59.13782936374592,57.19968905682606,-1.9381403069198615
A07,Cz,Alpha_Mu,45.20520830571788,43.15782999742834,-2.047378308289532
A07,Cz,Beta,18.45020097341871,23.75054992706853,5.30034895364982
A07,Cz,Delta,49.39910042469905,39.79750702162986,-9.60159340306918
A07,Cz,Gamma,14.13497950532916,15.658046425660622,1.5230669203314595
A07,Cz,Theta,42.8290107298989,36.89116226869582,-5.937848461203081
A08,C1,Alpha_Mu,63.66426773081511,67.21294472550764,3.548676994692538
A08,C1,Beta,55.54496763345416,61.1753609993078,5.63039336585364
A08,C1,Delta,58.783804713909454,44.14511245333162,-14.638692260577828
A08,C1,Gamma,69.52088235872912,76.64665255844639,7.12577019971728
A08,C1,Theta,54.80158643112653,46.81258395753329,-7.989002473593236
A08,C2,Alpha_Mu,66.11621800835884,69.00141706265929,2.885199054300438
A08,C2,Beta,58.55342779211776,64.07218544660114,5.51875765448337
A08,C2,Delta,60.12953954457882,47.25691833923881,-12.87262120534002
A08,C2,Gamma,70.21182661263488,77.65800394320514,7.446177330570261
A08,C2,Theta,56.527486482005855,50.52615616485853,-6.00133031714732
A08,C3,Alpha_Mu,49.19565141757116,54.56848064625366,5.372829228682496
A08,C3,Beta,56.4250883863713,61.92289097432096,5.497802587949662
A08,C3,Delta,59.60356785996258,45.20117887728412,-14.402388982678463
A08,C3,Gamma,71.3210476588508,78.40922865605387,7.088180997203073
A08,C3,Theta,55.84300394129838,47.27141153871405,-8.571592402584328
A08,C4,Alpha_Mu,60.90626601030422,63.804139337114094,2.897873326809871
A08,C4,Beta,61.77366143949904,67.20677614126674,5.433114701767713
A08,C4,Delta,63.86758897615479,53.3084777521658,-10.559111223988976
A08,C4,Gamma,72.93195545234856,80.44627477932372,7.514319326975147
A08,C4,Theta,59.64258562288838,56.15746712448279,-3.4851184984055954
A08,C5,Alpha_Mu,36.37566899181908,43.28217467984567,6.906505688026575
A08,C5,Beta,59.73629570239851,65.2917143914662,5.555418689067701
A08,C5,Delta,60.34287836358698,48.04907564730226,-12.29380271628472
A08,C5,Gamma,72.67146062517283,80.16033751125752,7.4888768860847
A08,C5,Theta,55.07121522432977,48.117340411225165,-6.953874813104608
A08,C6,Alpha_Mu,62.76155436937555,67.04697999696117,4.285425627585617
A08,C6,Beta,67.03791766176919,72.4092895829004,5.371371921131225
A08,C6,Delta,67.46744118195465,59.84928491966373,-7.618156262290922
A08,C6,Gamma,74.69184064927401,82.29798436229576,7.606143713021747
A08,C6,Theta,63.63564565612296,63.57182270089948,-0.0638229552234767
A08,Cz,Alpha_Mu,66.8458524263154,69.36066942197483,2.5148169956594355
A08,Cz,Beta,54.494383464399206,60.24527097769187,5.750887513292659
A08,Cz,Delta,56.394833856159046,42.246554171229846,-14.1482796849292
A08,Cz,Gamma,67.97338422467378,74.85963945403496,6.886255229361185
A08,Cz,Theta,52.54962829691028,45.008276164245466,-7.54135213266481
A09,C1,Alpha_Mu,38.70556775888589,39.004403344642704,0.2988355857568092
A09,C1,Beta,36.65521490298583,36.03974955991122,-0.6154653430746025
A09,C1,Delta,47.925951833877306,38.08547784885695,-9.840473985020362
A09,C1,Gamma,24.04291802350595,19.830156193884907,-4.212761829621048
A09,C1,Theta,45.4520777615007,37.23320864537556,-8.218869116125152
A09,C2,Alpha_Mu,53.95685569882397,54.91253064206885,0.9556749432448854
A09,C2,Beta,41.91464821210378,40.54680474356721,-1.3678434685365657
A09,C2,Delta,51.29112832886403,41.98602244140759,-9.30510588745644
A09,C2,Gamma,27.745236819001597,23.09805269021954,-4.647184128782057
A09,C2,Theta,51.31064649433458,42.71971096854422,-8.59093552579036
A09,C3,Alpha_Mu,26.71556972938293,26.181327721443168,-0.5342420079397642
A09,C3,Beta,24.340126420916132,24.95801192643198,0.6178855055158413
A09,C3,Delta,49.26716707441197,39.31084833495315,-9.95631873945882
A09,C3,Gamma,18.84119833574917,15.458355648466302,-3.382842687282868
A09,C3,Theta,43.07367262979718,35.73589572718338,-7.337776902613793
A09,C4,Alpha_Mu,49.96021739185595,51.16606674763815,1.205849355782198
A09,C4,Beta,35.2629893223196,36.43796203628275,1.1749727139631436
A09,C4,Delta,53.491809870044335,46.21438857011002,-7.277421299934314
A09,C4,Gamma,21.5332092542042,18.827508829563374,-2.7057004246408223
A09,C4,Theta,54.6734192235177,46.56800531571424,-8.10541390780346
A09,C5,Alpha_Mu,28.08514762974842,29.023782963758126,0.9386353340097072
A09,C5,Beta,24.365054264375285,24.902153768713085,0.5370995043377982
A09,C5,Delta,53.09901661756482,43.994099256107205,-9.104917361457616
A09,C5,Gamma,18.526425271831503,15.619840516436303,-2.9065847553952047
A09,C5,Theta,43.63683426758908,38.34527911409064,-5.291555153498436
A09,C6,Alpha_Mu,59.8045448421168,60.79545598837324,0.9909111462564382
A09,C6,Beta,45.57810440689877,46.74805486926344,1.169950462364677
A09,C6,Delta,58.918906277683085,53.45091362623747,-5.467992651445609
A09,C6,Gamma,25.334871911267253,21.997999569453484,-3.3368723418137662
A09,C6,Theta,62.750382477361455,55.69633591544232,-7.054046561919132
A09,Cz,Alpha_Mu,49.7335723791963,49.39257768159234,-0.3409946976039639
A09,Cz,Beta,41.12343485712839,39.27539422719988,-1.8480406299285168
A09,Cz,Delta,46.57835001925563,36.57292420302169,-10.005425816233943
A09,Cz,Gamma,27.1621767342568,22.58173594982684,-4.58044078442996
A09,Cz,Theta,45.5485045979448,36.841361775148094,-8.70714282279671
